"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2022","EQ","941.25","943.50","930.35","934.55","934.90","933.75","936.54","958.90","618.25","37,04,449","3,46,93,67,082.75","1,03,832"
"29-Dec-2022","EQ","922.80","944.00","915.80","924.70","940.10","934.55","930.17","958.90","618.25","1,22,04,113","11,35,18,95,482.05","1,24,569"
"28-Dec-2022","EQ","930.95","937.45","921.30","932.20","922.30","924.70","930.16","958.90","618.25","59,56,496","5,54,04,74,228.75","1,29,500"
"27-Dec-2022","EQ","932.45","937.80","922.60","928.70","933.00","932.20","928.72","958.90","618.25","33,46,083","3,10,75,81,249.55","1,45,210"
"26-Dec-2022","EQ","908.00","932.95","905.10","906.60","929.20","928.70","921.09","958.90","618.25","47,64,440","4,38,84,80,555.90","1,50,353"
"23-Dec-2022","EQ","912.00","917.25","904.00","919.55","907.20","906.60","909.40","958.90","618.25","63,71,695","5,79,43,88,371.70","1,47,699"
"22-Dec-2022","EQ","936.00","936.00","912.95","932.30","917.65","919.55","920.42","958.90","618.25","92,02,717","8,47,03,63,272.70","1,66,372"
"21-Dec-2022","EQ","953.10","958.90","928.00","949.75","931.50","932.30","944.84","958.90","618.25","83,68,960","7,90,73,31,223.75","1,96,971"
"20-Dec-2022","EQ","943.75","952.75","940.45","946.20","952.15","949.75","946.64","952.75","618.25","95,11,818","9,00,42,54,576.45","2,64,560"
"19-Dec-2022","EQ","935.10","948.10","932.40","935.10","948.00","946.20","942.40","950.15","618.25","48,42,336","4,56,34,19,682.50","1,86,440"
"16-Dec-2022","EQ","932.25","945.20","929.10","938.15","935.05","935.10","935.69","950.15","618.25","69,26,928","6,48,14,32,927.25","1,56,110"
"15-Dec-2022","EQ","939.75","944.95","932.60","942.40","934.35","938.15","939.99","950.15","618.25","73,59,261","6,91,76,60,944.35","1,33,654"
"14-Dec-2022","EQ","945.65","950.15","938.50","944.60","942.00","942.40","945.03","950.15","618.25","85,73,479","8,10,22,06,813.10","1,54,035"
"13-Dec-2022","EQ","940.20","949.30","936.60","938.65","943.80","944.60","945.18","949.30","618.25","81,36,559","7,69,05,45,463.70","1,25,348"
"12-Dec-2022","EQ","929.90","941.15","922.00","933.70","936.20","938.65","934.12","945.00","618.25","76,21,788","7,11,96,92,049.00","1,71,503"
"09-Dec-2022","EQ","944.00","945.00","927.60","939.35","931.50","933.70","934.83","945.00","618.25","80,18,981","7,49,63,94,922.70","1,79,308"
